,dealcounts,dealsizeusdmn,seed_founding,firstrounds_founding,has_ipo,ipo_value,has_tradesale,tradesale_value,name,Strat_score,score_year,incyear,portfoliocompanycity,portfoliocompanystatecounty
26178,8,351.22,0.0,80.0,1.0,74.52,0.0,0.0,"Barracuda Networks, Inc.",0.8385919309445257,2002,2002,Campbell,CA
28167,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Active Interest Media Inc.,0.8680931506181021,2003,2003,Boulder,CO
30078,8,92.0,0.0,50.0,0.0,0.0,0.0,0.0,"Nanomix, Inc.",0.9433624445476472,2000,2000,Emeryville,CA
30392,6,73.1,0.0,43.0,0.0,0.0,1.0,0.0,Netronome Systems,0.8136491151865352,2003,2003,Santa Clara,CA
31705,4,59.0,0.0,59.0,0.0,0.0,1.0,0.0,TZero Technologies,0.9227909895854224,2003,2003,Santa Clara,CA
32442,4,87.5,0.0,87.5,0.0,0.0,1.0,0.0,Dachis Group,0.9128749585577588,2008,2008,Austin,TX
32529,16,1157.4,0.0,418.0,1.0,216.0,1.0,3900.0,"HomeAway, Inc.",0.8844620296983969,2005,2005,Austin,TX
32917,34,688.02,0.0,177.8,1.0,188.0,0.0,0.0,"Chegg, Inc.",0.9063025429613788,2003,2003,Santa Clara,CA
33245,10,44.54,0.0,30.0,0.0,0.0,1.0,0.0,"Limos.com, Inc.",0.8107378778119472,2008,2008,San Francisco,CA
35855,10,134.39999999999998,5.6,134.39999999999998,0.0,0.0,0.0,0.0,Helium Inc.,0.8609366012235851,2013,2013,San Francisco,CA
37426,2,0.0,0.0,0.0,1.0,160.17,0.0,0.0,RPX Corporation,0.8592908539583837,2008,2008,San Francisco,CA
38025,9,115.5,0.0,13.5,0.0,0.0,1.0,110.0,"Cloudmark, Inc.",0.9296184048589432,2001,2001,San Francisco,CA
38745,10,257.20000000000005,0.0,125.0,0.0,0.0,1.0,0.0,Suniva Inc.,0.7327184454402179,2006,2006,Norcross,GA
39378,8,108.2,0.0,108.2,0.0,0.0,1.0,200.0,Cheddar Inc.,0.7145111515132231,2016,2016,New York,NY
41349,2,39.5,0.0,39.5,0.0,0.0,0.0,0.0,Senior Whole Health,0.7081754001556742,2004,2004,St. Cambridge,MA
44698,10,299.8,0.0,234.0,0.0,0.0,1.0,250.0,"Gilt Groupe, Inc.",0.8918519819718022,2007,2007,New York,NY
46517,1,0.33,0.0,0.0,0.0,0.0,1.0,0.0,Netmining,0.9054922326812562,2000,2000,New York,NY
47051,3,19.5,0.0,4.0,0.0,0.0,0.0,0.0,ESO Solutions Inc.,0.8517548960271022,2004,2004,Austin,TX
47946,6,345.0,0.0,0.0,0.0,0.0,1.0,0.0,"Highwinds Network Group, Inc.",0.8793036695981231,2002,2002,Winter Park,FL
48230,2,10.0,0.0,10.0,0.0,0.0,0.0,0.0,The Sportsman Channel,0.8426530509729316,2003,2003,New Berlin,WI
49847,10,60.26,0.0,50.8,0.0,0.0,0.0,0.0,Supplyworks Inc.,0.7913252389281107,2015,2015,Jacksonville,FL
49993,2,85.0,0.0,85.0,0.0,0.0,1.0,305.0,Recurrent Energy,0.5612552470583675,2006,2006,San Francisco,CA
